award_id,award_name
1,Academy Award for Best Original Musical or Comedy Score
2,Academy Award for Best Original Song
3,Academy Award for Best Original Screenplay
4,Academy Award for Best Actor
5,Academy Award for Best Supporting Actress
6,Academy Award for Best Original Score
7,Academy Award for Best Actress
8,Academy Award for Best Cinematography
9,Academy Award for Best Costume Design
10,Academy Award for Best Picture
11,Academy Award for Best Adapted Screenplay
12,Academy Award for Best Director
13,Academy Award for Best Supporting Actor
14,Academy Award for Best Production Design
15,Academy Award for Best Film Editing
16,Academy Award for Best Visual Effects
17,Academy Award for Best Makeup and Hairstyling
18,Academy Award for Best Sound
19,Academy Award for Best Sound Editing
20,Academy Award for Best Original Score
21,Academy Award for Best Documentary Feature
22,Academy Award for Best Original Score
23,Academy Award for Best Original Song
24,Academy Award for Best Actor
25,Academy Award for Best Adapted Screenplay
26,Academy Award for Best Actress
27,Academy Award for Best Production Design
28,Academy Award for Best Cinematography
29,Academy Award for Best Music Score of a Dramatic Picture
30,Academy Award for Best Picture
31,Academy Award for Best Scoring of a Musical Picture
32,Academy Award for Best Original Screenplay
33,Academy Award for Best Sound
34,Academy Award for Best Screenplay
35,Academy Award for Outstanding Production
36,Academy Award for Best Adapted Screenplay
37,Academy Award for Best Art Direction (Black-and-White)
38,Academy Award for Best Cinematography (Black-and-White)
39,Academy Award for Best Motion Picture
40,Academy Award for Best Costume Design (Black-and-White)
41,Academy Award for Best Costume Design (Color)
42,Academy Award for Best Original Score
43,Academy Award for Best Motion Picture Story
44,Academy Award for Best Special Effects
45,Academy Award for Best Music Score of a Dramatic Picture
46,Academy Award for Best Original Screenplay
47,Academy Award for Best Visual Effects
48,Academy Award for Best Original Story
49,Academy Award for Best Assistant Director
50,Academy Award for Best Dance Direction
51,Academy Award for Best Adapted Screenplay
52,Academy Award for Best Animated Short Film
53,Academy Award for Best Original Score
54,Academy Award for Best Original Song Score
55,Academy Award for Best Song Score
56,Academy Award for Best Original Song
57,Academy Award for Best Adaptation Score
58,Academy Award for Best Adapted Screenplay
59,Academy Award for Best International Feature Film
60,Academy Award for Best Original Screenplay
61,Academy Award for Best Original Screenplay
62,Academy Award for Best Original Score
63,Academy Award for Best Adapted Screenplay
64,Academy Award for Best Original Score for a Motion Picture
65,Academy Award for Best Original Screenplay
66,Academy Award for Best Story
67,Academy Award for Best Original Story and Screenplay
68,Academy Award for Best Sound Effects
69,Academy Award for Best Original Score for a Musical Picture
70,Academy Special Achievement Award for Visual Effects
71,Academy Award for Best Original Scoring: Adaptation
72,Academy Special Achievement Award for Sound Effects Editing
73,Academy Award for Best Original Song Score or Adaptation Score
74,Academy Award for Best Sound Editing
75,Academy Award for Best Animated Feature
76,Academy Award for Best Animated Short Film
77,Academy Award for Best Documentary Short Film
78,Academy Award for Best Adapted Screenplay
79,Academy Award for Best Sound Mixing
80,Academy Award for Best Original Song Score
81,Academy Award for Best Production Design
82,Academy Award for Best Makeup and Hairstyling
83,Academy Award for Best Live Action Short Film
84,Golden Globe for Best Original Song - Motion Picture
85,Golden Globe for Best Performance by an Actor in a Motion Picture - Musical or Comedy
86,Golden Globe for Best Performance by an Actor in a Motion Picture - Drama
87,Golden Globe for Best Performance by an Actress in a Motion Picture - Drama
88,Golden Globe for Best Director - Motion Picture
89,Golden Globe for Best Performance by an Actress in a Supporting Role in any Motion Picture
90,Golden Globe for Best Screenplay - Motion Picture
91,Golden Globe for Best Original Score - Motion Picture
92,Golden Globe for Best Performance by an Actress in a Motion Picture - Musical or Comedy
93,Golden Globe for Best Performance by an Actor in a Supporting Role in any Motion Picture
94,Golden Globe Special Achievement Award
95,Golden Globe for Actress In A Leading Role - Musical Or Comedy
96,Golden Globe for Actress In A Leading Role
97,Golden Globe for New Star Of The Year - Actress
98,Golden Globe for New Star Of The Year - Actor
99,Golden Globe for Best Cinematography - Black And White
100,Golden Globe Special Award for Best Juvenile Performance
101,Golden Globe for Best Foreign Film - English Language
102,Golden Globe for Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television
103,Golden Globe for New Star Of The Year
104,Golden Globe Samuel Goldwyn International Award
105,Golden Globe for Promoting International Understanding
106,Golden Globe for Best Foreign Film - Foreign Language
107,Golden Globe for Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television
108,Golden Globe for Best Cinematography - Color
109,Golden Globe for Best Cinematography
110,Golden Globe for Best Performance by an Actress in a Supporting Role in a Series; Limited Series or Motion Picture Made for Television
111,Golden Globe for Best Performance by an Actor in a Supporting Role in a Series; Limited Series or Motion Picture Made for Television
112,Golden Globe for Best Performance by an Actress In A Television Series - Drama
