awardId,award_id,award_name
1,o1,Academy Award for Best Original Musical or Comedy Score
2,o2,Academy Award for Best Original Song
3,o3,Academy Award for Best Original Screenplay
4,o4,Academy Award for Best Actor
5,o5,Academy Award for Best Supporting Actress
6,o6,Academy Award for Best Original Score
7,o7,Academy Award for Best Actress
8,o8,Academy Award for Best Cinematography
9,o9,Academy Award for Best Costume Design
10,o10,Academy Award for Best Picture
11,o11,Academy Award for Best Adapted Screenplay
12,o12,Academy Award for Best Director
13,o13,Academy Award for Best Supporting Actor
14,o14,Academy Award for Best Production Design
15,o15,Academy Award for Best Film Editing
16,o16,Academy Award for Best Visual Effects
17,o17,Academy Award for Best Makeup and Hairstyling
18,o18,Academy Award for Best Sound
19,o19,Academy Award for Best Sound Editing
20,o20,Academy Award for Best Original Score
21,o21,Academy Award for Best Documentary Feature
22,o22,Academy Award for Best Original Score
23,o23,Academy Award for Best Original Song
24,o24,Academy Award for Best Actor
25,o25,Academy Award for Best Adapted Screenplay
26,o26,Academy Award for Best Actress
27,o27,Academy Award for Best Production Design
28,o28,Academy Award for Best Cinematography
29,o29,Academy Award for Best Music Score of a Dramatic Picture
30,o30,Academy Award for Best Picture
31,o31,Academy Award for Best Scoring of a Musical Picture
32,o32,Academy Award for Best Original Screenplay
33,o33,Academy Award for Best Sound
34,o34,Academy Award for Best Screenplay
35,o35,Academy Award for Outstanding Production
36,o36,Academy Award for Best Adapted Screenplay
37,o37,Academy Award for Best Art Direction (Black-and-White)
38,o38,Academy Award for Best Cinematography (Black-and-White)
39,o39,Academy Award for Best Motion Picture
40,o40,Academy Award for Best Costume Design (Black-and-White)
41,o41,Academy Award for Best Costume Design (Color)
42,o42,Academy Award for Best Original Score
43,o43,Academy Award for Best Motion Picture Story
44,o44,Academy Award for Best Special Effects
45,o45,Academy Award for Best Music Score of a Dramatic Picture
46,o46,Academy Award for Best Original Screenplay
47,o47,Academy Award for Best Visual Effects
48,o48,Academy Award for Best Original Story
49,o49,Academy Award for Best Assistant Director
50,o50,Academy Award for Best Dance Direction
51,o51,Academy Award for Best Adapted Screenplay
52,o52,Academy Award for Best Animated Short Film
53,o53,Academy Award for Best Original Score
54,o54,Academy Award for Best Original Song Score
55,o55,Academy Award for Best Song Score
56,o56,Academy Award for Best Original Song
57,o57,Academy Award for Best Adaptation Score
58,o58,Academy Award for Best Adapted Screenplay
59,o59,Academy Award for Best International Feature Film
60,o60,Academy Award for Best Original Screenplay
61,o61,Academy Award for Best Original Screenplay
62,o62,Academy Award for Best Original Score
63,o63,Academy Award for Best Adapted Screenplay
64,o64,Academy Award for Best Original Score for a Motion Picture
65,o65,Academy Award for Best Original Screenplay
66,o66,Academy Award for Best Story
67,o67,Academy Award for Best Original Story and Screenplay
68,o68,Academy Award for Best Sound Effects
69,o69,Academy Award for Best Original Score for a Musical Picture
70,o70,Academy Special Achievement Award for Visual Effects
71,o71,Academy Award for Best Original Scoring: Adaptation
72,o72,Academy Special Achievement Award for Sound Effects Editing
73,o73,Academy Award for Best Original Song Score or Adaptation Score
74,o74,Academy Award for Best Sound Editing
75,o75,Academy Award for Best Animated Feature
76,o76,Academy Award for Best Animated Short Film
77,o77,Academy Award for Best Documentary Short Film
78,o78,Academy Award for Best Adapted Screenplay
79,o79,Academy Award for Best Sound Mixing
80,o80,Academy Award for Best Original Song Score
81,o81,Academy Award for Best Production Design
82,o82,Academy Award for Best Makeup and Hairstyling
83,o83,Academy Award for Best Live Action Short Film
84,g1,Golden Globe for Best Original Song - Motion Picture
85,g2,Golden Globe for Best Performance by an Actor in a Motion Picture - Musical or Comedy
86,g3,Golden Globe for Best Performance by an Actor in a Motion Picture - Drama
87,g4,Golden Globe for Best Performance by an Actress in a Motion Picture - Drama
88,g5,Golden Globe for Best Director - Motion Picture
89,g6,Golden Globe for Best Performance by an Actress in a Supporting Role in any Motion Picture
90,g7,Golden Globe for Best Screenplay - Motion Picture
91,g8,Golden Globe for Best Original Score - Motion Picture
92,g9,Golden Globe for Best Performance by an Actress in a Motion Picture - Musical or Comedy
93,g10,Golden Globe for Best Performance by an Actor in a Supporting Role in any Motion Picture
94,g11,Golden Globe Special Achievement Award
95,g12,Golden Globe for Actress In A Leading Role - Musical Or Comedy
96,g13,Golden Globe for Actress In A Leading Role
97,g14,Golden Globe for New Star Of The Year - Actress
98,g15,Golden Globe for New Star Of The Year - Actor
99,g16,Golden Globe for Best Cinematography - Black And White
100,g17,Golden Globe Special Award for Best Juvenile Performance
101,g18,Golden Globe for Best Foreign Film - English Language
102,g19,Golden Globe for Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television
103,g20,Golden Globe for New Star Of The Year
104,g21,Golden Globe Samuel Goldwyn International Award
105,g22,Golden Globe for Promoting International Understanding
106,g23,Golden Globe for Best Foreign Film - Foreign Language
107,g24,Golden Globe for Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television
108,g25,Golden Globe for Best Cinematography - Color
109,g26,Golden Globe for Best Cinematography
110,g27,Golden Globe for Best Performance by an Actress in a Supporting Role in a Series; Limited Series or Motion Picture Made for Television
111,g28,Golden Globe for Best Performance by an Actor in a Supporting Role in a Series; Limited Series or Motion Picture Made for Television
112,g29,Golden Globe for Best Performance by an Actress In A Television Series - Drama
