award_id,award_name
1,Best Original Song - Motion Picture
2,Best Performance by an Actor in a Motion Picture - Musical or Comedy
3,Best Performance by an Actor in a Motion Picture - Drama
4,Best Performance by an Actress in a Motion Picture - Drama
5,Best Director - Motion Picture
6,Best Performance by an Actress in a Supporting Role in any Motion Picture
7,Best Screenplay - Motion Picture
8,Best Original Score - Motion Picture
9,Best Performance by an Actress in a Motion Picture - Musical or Comedy
10,Best Performance by an Actor in a Supporting Role in any Motion Picture
11,Special Achievement Award
12,Actress In A Leading Role - Musical Or Comedy
13,Actress In A Leading Role
14,New Star Of The Year - Actress
15,New Star Of The Year - Actor
16,Cinematography - Black And White
17,Juvenile Performance
18,Foreign Film - English Language
19,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television
20,New Star Of The Year
21,Samuel Goldwyn International Award
22,Promoting International Understanding
23,Foreign Film - Foreign Language
24,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television
25,Cinematography - Color
26,Cinematography
27,Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television
28,Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television
29,Best Performance by an Actress In A Television Series - Drama
