movieId,actor
1,Tom Hanks
1,Tim Allen
1,Don Rickles
2,Robin Williams
2,Kirsten Dunst
2,Bradley Pierce
3,Walter Matthau
3,Jack Lemmon
3,Ann-Margret
4,Whitney Houston
4,Angela Bassett
4,Loretta Devine
5,Steve Martin
5,Diane Keaton
5,Martin Short
6,Al Pacino
6,Robert De Niro
6,Val Kilmer
7,Harrison Ford
7,Julia Ormond
7,Greg Kinnear
8,Jonathan Taylor Thomas
8,Brad Renfro
8,Eric Schweig
9,Jean-Claude Van Damme
9,Powers Boothe
9,Raymond J. Barry
10,Pierce Brosnan
10,Sean Bean
10,Izabella Scorupco
11,Michael Douglas
11,Annette Bening
11,Martin Sheen
12,Leslie Nielsen
12,Mel Brooks
12,Amy Yasbeck
13,Kevin Bacon
13,Bob Hoskins
13,Bridget Fonda
14,Anthony Hopkins
14,Joan Allen
14,Powers Boothe
15,Geena Davis
15,Matthew Modine
15,Frank Langella
16,Robert De Niro
16,Sharon Stone
16,Joe Pesci
17,Emma Thompson
17,Kate Winslet
17,Alan Rickman
18,Tim Roth
18,Jennifer Beals
18,Antonio Banderas
19,Jim Carrey
19,Ian McNeice
19,Simon Callow
20,Wesley Snipes
20,Woody Harrelson
20,Jennifer Lopez
21,John Travolta
21,Gene Hackman
21,Rene Russo
22,Sigourney Weaver
22,Holly Hunter
22,Dermot Mulroney
23,Sylvester Stallone
23,Antonio Banderas
23,Julianne Moore
24,Mary Steenburgen
24,Sean Patrick Flanery
24,Lance Henriksen
25,Nicolas Cage
25,Elisabeth Shue
25,Julian Sands
26,Laurence Fishburne
26,Irène Jacob
26,Kenneth Branagh
27,Christina Ricci
27,Rosie O'Donnell
27,Thora Birch
28,Amanda Root
28,Ciarán Hinds
28,Susan Fleetwood
29,Ron Perlman
29,Dominique Pinon
29,Judith Vittet
30,Gong Li
30,Li Baotian
30,Sun Chun
31,Michelle Pfeiffer
31,George Dzundza
31,Courtney B. Vance
32,Bruce Willis
32,Madeleine Stowe
32,Brad Pitt
34,Christine Cavanaugh
34,Miriam Margolyes
34,Danny Mann
36,Susan Sarandon
36,Sean Penn
36,Robert Prosky
38,Kirstie Alley
38,Steve Guttenberg
38,Ashley Olsen
39,Alicia Silverstone
39,Stacey Dash
39,Brittany Murphy
40,Richard Harris
40,James Earl Jones
40,Charles S. Dutton
41,Ian McKellen
41,Annette Bening
41,Jim Broadbent
42,Larenz Tate
42,Keith David
42,Chris Tucker
43,Robert Downey Jr.
43,Meg Ryan
43,Sam Neill
44,Robin Shou
44,Linden Ashby
44,Bridgette Wilson-Sampras
45,Nicole Kidman
45,Matt Dillon
45,Joaquin Phoenix
46,Winona Ryder
46,Anne Bancroft
46,Ellen Burstyn
47,Morgan Freeman
47,Brad Pitt
47,Gwyneth Paltrow
48,Irene Bedard
48,Mel Gibson
48,David Ogden Stiers
49,Pascale Bussières
49,Rachael Crawford
49,Henry Czerny
50,Stephen Baldwin
50,Gabriel Byrne
50,Benicio del Toro
52,Woody Allen
52,Mira Sorvino
52,Helena Bonham Carter
53,Enrico Lo Verso
53,Michele Placido
53,Piro Milkani
54,Olivia d'Abo
54,Steve Guttenberg
54,Chauncey Leopardi
55,Jennifer Jason Leigh
55,Mare Winningham
55,Ted Levine
57,Holly Hunter
57,Robert Downey Jr.
57,Anne Bancroft
58,Massimo Troisi
58,Philippe Noiret
58,Maria Grazia Cucinotta
60,Hal Scardino
60,Litefoot
60,Lindsay Crouse
61,Sally Field
61,Kiefer Sutherland
61,Ed Harris
62,Richard Dreyfuss
62,Glenne Headly
62,Jay Thomas
63,Shawn Wayans
63,Marlon Wayans
63,Tracey Cherelle Jones
64,Sandra Bullock
64,Denis Leary
64,Yaphet Kotto
65,Pauly Shore
65,Stephen Baldwin
65,William Atherton
66,Patrick Bergin
66,Matt Frewer
66,Austin O'Brien
68,Victoria Abril
68,Josiane Balasko
68,Alain Chabat
69,Ice Cube
69,Chris Tucker
69,Nia Long
70,George Clooney
70,Quentin Tarantino
70,Harvey Keitel
71,William Baldwin
71,Cindy Crawford
71,Steven Berkoff
72,Josh Hamilton
72,Olivia d'Abo
72,Chris Eigeman
73,Jean-Paul Belmondo
73,Michel Boujenah
73,Alessandra Martines
74,Christian Slater
74,Mary Stuart Masterson
74,Pamela Adlon
75,Rick Moranis
75,Tom Arnold
75,Julianne Phillips
76,Peter Weller
76,Jennifer Rubin
76,Roy Dupuis
77,Nico
77,Tina Aumont
77,Christian Aaron Boulogne
78,Jack Nicholson
78,David Morse
78,Anjelica Huston
79,Demi Moore
79,Alec Baldwin
79,Joseph Gordon-Levitt
