year_film,year_ceremony,ceremony,category,name,film,winner
1995,1996,68,MUSIC (Original Musical or Comedy Score),Randy Newman,Toy Story,False
1995,1996,68,MUSIC (Original Song),Music and Lyric by Randy Newman,Toy Story,False
1995,1996,68,WRITING (Screenplay Written Directly for the Screen),"Screenplay by Joss Whedon, Andrew Stanton, Joel Cohen, Alec Sokolow;  Story by John Lasseter, Peter Docter, Andrew Stanton, Joe Ranft",Toy Story,False
1995,1996,68,MUSIC (Original Musical or Comedy Score),John Williams,Sabrina,False
1995,1996,68,MUSIC (Original Song),Music by John Williams; Lyric by Alan Bergman and Marilyn Bergman,Sabrina,False
1995,1996,68,ACTOR IN A LEADING ROLE,Anthony Hopkins,Nixon,False
1995,1996,68,ACTRESS IN A SUPPORTING ROLE,Joan Allen,Nixon,False
1995,1996,68,MUSIC (Original Dramatic Score),John Williams,Nixon,False
1995,1996,68,WRITING (Screenplay Written Directly for the Screen),"Stephen J. Rivele, Christopher Wilkinson, Oliver Stone",Nixon,False
1995,1996,68,ACTRESS IN A LEADING ROLE,Sharon Stone,Casino,False
1995,1996,68,ACTRESS IN A LEADING ROLE,Emma Thompson,Sense and Sensibility,False
1995,1996,68,ACTRESS IN A SUPPORTING ROLE,Kate Winslet,Sense and Sensibility,False
1995,1996,68,CINEMATOGRAPHY,Michael Coulter,Sense and Sensibility,False
1995,1996,68,COSTUME DESIGN,"Jenny Beavan, John Bright",Sense and Sensibility,False
1995,1996,68,MUSIC (Original Dramatic Score),Patrick Doyle,Sense and Sensibility,False
1995,1996,68,BEST PICTURE,"Lindsay Doran, Producer",Sense and Sensibility,False
1995,1996,68,WRITING (Screenplay Based on Material Previously Produced or Published),Emma Thompson,Sense and Sensibility,True
1995,1996,68,ACTOR IN A LEADING ROLE,Nicolas Cage,Leaving Las Vegas,True
1995,1996,68,ACTRESS IN A LEADING ROLE,Elisabeth Shue,Leaving Las Vegas,False
1995,1996,68,DIRECTING,Mike Figgis,Leaving Las Vegas,False
1995,1996,68,WRITING (Screenplay Based on Material Previously Produced or Published),Mike Figgis,Leaving Las Vegas,False
1995,1996,68,ACTOR IN A SUPPORTING ROLE,James Cromwell,Babe,False
1995,1996,68,ART DIRECTION,Art Direction:  Roger Ford;  Set Decoration:  Kerrie Brown,Babe,False
1995,1996,68,DIRECTING,Chris Noonan,Babe,False
1995,1996,68,FILM EDITING,"Marcus D'Arcy, Jay Friedkin",Babe,False
1995,1996,68,BEST PICTURE,"George Miller, Doug Mitchell and Bill Miller, Producers",Babe,False
1995,1996,68,VISUAL EFFECTS,"Scott E. Anderson, Charles Gibson, Neal Scanlan, John Cox",Babe,True
1995,1996,68,WRITING (Screenplay Based on Material Previously Produced or Published),"George Miller, Chris Noonan",Babe,False
1995,1996,68,ACTOR IN A LEADING ROLE,Sean Penn,Dead Man Walking,False
1995,1996,68,ACTRESS IN A LEADING ROLE,Susan Sarandon,Dead Man Walking,True
1995,1996,68,DIRECTING,Tim Robbins,Dead Man Walking,False
1995,1996,68,MUSIC (Original Song),Music and Lyric by Bruce Springsteen,Dead Man Walking,False
1995,1996,68,ART DIRECTION,Tony Burrough,Richard III,False
1995,1996,68,COSTUME DESIGN,Shuna Harwood,Richard III,False
1995,1996,68,ART DIRECTION,Eugenio Zanetti,Restoration,True
1995,1996,68,COSTUME DESIGN,James Acheson,Restoration,True
1995,1996,68,MUSIC (Original Musical or Comedy Score),Music by Alan Menken; Lyrics by Stephen Schwartz; Orchestral Score by Alan Menken,Pocahontas,True
1995,1996,68,MUSIC (Original Song),Music by Alan Menken; Lyric by Stephen Schwartz,Pocahontas,True
1995,1996,68,ACTRESS IN A SUPPORTING ROLE,Mira Sorvino,Mighty Aphrodite,True
1995,1996,68,WRITING (Screenplay Written Directly for the Screen),Woody Allen,Mighty Aphrodite,False
1995,1996,68,ACTRESS IN A SUPPORTING ROLE,Mare Winningham,Georgia,False
1995,1996,68,ACTOR IN A LEADING ROLE,Richard Dreyfuss,Mr. Holland's Opus,False
1995,1996,68,CINEMATOGRAPHY,John Toll,Braveheart,True
1995,1996,68,COSTUME DESIGN,Charles Knode,Braveheart,False
1995,1996,68,DIRECTING,Mel Gibson,Braveheart,True
1995,1996,68,FILM EDITING,Steven Rosenblum,Braveheart,False
1995,1996,68,MAKEUP,"Peter Frampton, Paul Pattison, Lois Burwell",Braveheart,True
1995,1996,68,MUSIC (Original Dramatic Score),James Horner,Braveheart,False
1995,1996,68,BEST PICTURE,"Mel Gibson, Alan Ladd, Jr. and Bruce Davey, Producers",Braveheart,True
1995,1996,68,SOUND,"Andy Nelson, Scott Millan, Anna Behlmer, Brian Simmons",Braveheart,False
1995,1996,68,SOUND EFFECTS EDITING,"Lon Bender, Per Hallberg",Braveheart,True
1995,1996,68,WRITING (Screenplay Written Directly for the Screen),Randall Wallace,Braveheart,False
1976,1977,49,ACTOR IN A LEADING ROLE,Robert De Niro,Taxi Driver,False
1976,1977,49,ACTRESS IN A SUPPORTING ROLE,Jodie Foster,Taxi Driver,False
1976,1977,49,MUSIC (Original Score),Bernard Herrmann,Taxi Driver,False
1976,1977,49,BEST PICTURE,"Michael Phillips and Julia Phillips, Producers",Taxi Driver,False
1995,1996,68,DOCUMENTARY (Feature),Jon Blair,Anne Frank Remembered,True
1996,1997,69,MUSIC (Original Song),Music and Lyric by Diane Warren,Up Close and Personal,False
1995,1996,68,ACTOR IN A SUPPORTING ROLE,Ed Harris,Apollo 13,False
1995,1996,68,ACTRESS IN A SUPPORTING ROLE,Kathleen Quinlan,Apollo 13,False
1995,1996,68,ART DIRECTION,Art Direction:  Michael Corenblith;  Set Decoration:  Merideth Boswell,Apollo 13,False
1995,1996,68,FILM EDITING,"Mike Hill, Dan Hanley",Apollo 13,True
1995,1996,68,MUSIC (Original Dramatic Score),James Horner,Apollo 13,False
1995,1996,68,BEST PICTURE,"Brian Grazer, Producer",Apollo 13,False
1995,1996,68,SOUND,"Rick Dior, Steve Pederson, Scott Millan, David MacMillan",Apollo 13,True
1995,1996,68,VISUAL EFFECTS,"Robert Legato, Michael Kanfer, Leslie Ekker, Matt Sweeney",Apollo 13,False
1995,1996,68,WRITING (Screenplay Based on Material Previously Produced or Published),"William Broyles, Jr., Al Reinert",Apollo 13,False
1995,1996,68,ACTOR IN A SUPPORTING ROLE,Tim Roth,Rob Roy,False
1995,1996,68,CINEMATOGRAPHY,Stephen Goldblatt,Batman Forever,False
1995,1996,68,SOUND,"Donald O. Mitchell, Frank A. Montaño, Michael Herbick, Petur Hliddal",Batman Forever,False
1995,1996,68,SOUND EFFECTS EDITING,"John Leveque, Bruce Stambler",Batman Forever,False
1995,1996,68,FILM EDITING,Chris Lebenzon,Crimson Tide,False
1995,1996,68,SOUND,"Kevin O'Connell, Rick Kline, Gregory H. Watkins, William B. Kaplan",Crimson Tide,False
1995,1996,68,SOUND EFFECTS EDITING,George Watters II,Crimson Tide,False
1995,1996,68,MUSIC (Original Musical or Comedy Score),Thomas Newman,Unstrung Heroes,False
1995,1996,68,SOUND,"Steve Maslow, Gregg Landaker, Keith A. Wester",Waterworld,False
1995,1996,68,MUSIC (Original Song),"Music and Lyric by Michael Kamen, Bryan Adams and Robert John Lange",Don Juan DeMarco,False
1994,1995,67,ACTOR IN A SUPPORTING ROLE,Martin Landau,Ed Wood,True
1994,1995,67,MAKEUP,"Rick Baker, Ve Neill, Yolanda Toussieng",Ed Wood,True
1994,1995,67,FILM EDITING,"Frederick Marx, Steve James, Bill Haugse",Hoop Dreams,False
1994,1995,67,WRITING (Screenplay Written Directly for the Screen),"Frances Walsh, Peter Jackson",Heavenly Creatures,False
1994,1995,67,MUSIC (Original Song),"Music and Lyric by Carole Bayer Sager, James Newton Howard, James Ingram and Patty Smyth",Junior,False
1994,1995,67,ACTRESS IN A LEADING ROLE,Winona Ryder,Little Women,False
1994,1995,67,COSTUME DESIGN,Colleen Atwood,Little Women,False
1994,1995,67,MUSIC (Original Score),Thomas Newman,Little Women,False
1994,1995,67,ART DIRECTION,Art Direction:  Lilly Kilvert;  Set Decoration:  Dorree Cooper,Legends of the Fall,False
1994,1995,67,CINEMATOGRAPHY,John Toll,Legends of the Fall,True
1994,1995,67,SOUND,"Paul Massey, David Campbell, Christopher David, Douglas Ganton",Legends of the Fall,False
1994,1995,67,ACTOR IN A LEADING ROLE,Paul Newman,Nobody's Fool,False
1994,1995,67,WRITING (Screenplay Based on Material Previously Produced or Published),Robert Benton,Nobody's Fool,False
1994,1995,67,ACTRESS IN A LEADING ROLE,Jodie Foster,Nell,False
1994,1995,67,ACTOR IN A LEADING ROLE,John Travolta,Pulp Fiction,False
1994,1995,67,ACTOR IN A SUPPORTING ROLE,Samuel L. Jackson,Pulp Fiction,False
1994,1995,67,ACTRESS IN A SUPPORTING ROLE,Uma Thurman,Pulp Fiction,False
1994,1995,67,DIRECTING,Quentin Tarantino,Pulp Fiction,False
1994,1995,67,FILM EDITING,Sally Menke,Pulp Fiction,False
1994,1995,67,BEST PICTURE,"Lawrence Bender, Producer",Pulp Fiction,False
1994,1995,67,WRITING (Screenplay Written Directly for the Screen),Screenplay by Quentin Tarantino;  Stories by Quentin Tarantino & Roger Avary,Pulp Fiction,True
1994,1995,67,ACTOR IN A SUPPORTING ROLE,Paul Scofield,Quiz Show,False
1994,1995,67,DIRECTING,Robert Redford,Quiz Show,False
1994,1995,67,BEST PICTURE,"Robert Redford, Michael Jacobs, Julian Krainin and Michael Nozik, Producers",Quiz Show,False
1994,1995,67,WRITING (Screenplay Based on Material Previously Produced or Published),Paul Attanasio,Quiz Show,False
1995,1996,68,MAKEUP,"Greg Cannom, Bob Laden, Colleen Callaghan",Roommates,False
1994,1995,67,ACTRESS IN A LEADING ROLE,Miranda Richardson,Tom & Viv,False
1994,1995,67,ACTRESS IN A SUPPORTING ROLE,Rosemary Harris,Tom & Viv,False
1993,1994,66,ACTOR IN A SUPPORTING ROLE,Leonardo DiCaprio,What's Eating Gilbert Grape,False
1994,1995,67,SOUND,"Donald O. Mitchell, Michael Herbick, Frank A. Montaño, Arthur Rochester",Clear and Present Danger,False
1994,1995,67,SOUND EFFECTS EDITING,"Bruce Stambler, John Leveque",Clear and Present Danger,False
1994,1995,67,ACTOR IN A LEADING ROLE,Tom Hanks,Forrest Gump,True
1994,1995,67,ACTOR IN A SUPPORTING ROLE,Gary Sinise,Forrest Gump,False
1994,1995,67,ART DIRECTION,Art Direction:  Rick Carter;  Set Decoration:  Nancy Haigh,Forrest Gump,False
1994,1995,67,CINEMATOGRAPHY,Don Burgess,Forrest Gump,False
1994,1995,67,DIRECTING,Robert Zemeckis,Forrest Gump,True
1994,1995,67,FILM EDITING,Arthur Schmidt,Forrest Gump,True
1994,1995,67,MAKEUP,"Daniel C. Striepeke, Hallie D'Amore, Judith A. Cory",Forrest Gump,False
1994,1995,67,MUSIC (Original Score),Alan Silvestri,Forrest Gump,False
1994,1995,67,BEST PICTURE,"Wendy Finerman, Steve Tisch and Steve Starkey, Producers",Forrest Gump,True
1994,1995,67,SOUND,"Randy Thom, Tom Johnson, Dennis Sands, William B. Kaplan",Forrest Gump,False
1994,1995,67,SOUND EFFECTS EDITING,"Gloria S. Borders, Randy Thom",Forrest Gump,False
1994,1995,67,VISUAL EFFECTS,"Ken Ralston, George Murphy, Stephen Rosenbaum, Allen Hall",Forrest Gump,True
1994,1995,67,WRITING (Screenplay Based on Material Previously Produced or Published),Eric Roth,Forrest Gump,True
1994,1995,67,BEST PICTURE,"Duncan Kenworthy, Producer",Four Weddings and a Funeral,False
1994,1995,67,WRITING (Screenplay Written Directly for the Screen),Richard Curtis,Four Weddings and a Funeral,False
1994,1995,67,COSTUME DESIGN,April Ferry,Maverick,False
1994,1995,67,FILM EDITING,John Wright,Speed,False
1994,1995,67,SOUND,"Gregg Landaker, Steve Maslow, Bob Beemer, David R. B. MacMillan",Speed,True
1994,1995,67,SOUND EFFECTS EDITING,Stephen Hunter Flick,Speed,True
1994,1995,67,VISUAL EFFECTS,"John Bruno, Thomas L. Fisher, Jacques Stroweis, Patrick McClung",True Lies,False
1994,1995,67,CINEMATOGRAPHY,Owen Roizman,Wyatt Earp,False
1993,1994,66,ART DIRECTION,Art Direction:  Ken Adam;  Set Decoration:  Marvin March,Addams Family Values,False
1994,1995,67,ACTRESS IN A LEADING ROLE,Jessica Lange,Blue Sky,True
1993,1994,66,SOUND,"Michael Minkler, Bob Beemer, Tim Cooney",Cliffhanger,False
1993,1994,66,SOUND EFFECTS EDITING,"Wylie Stateman, Gregg Baxter",Cliffhanger,False
1993,1994,66,VISUAL EFFECTS,"Neil Krepela, John Richardson, John Bruno, Pamela Easley",Cliffhanger,False
1993,1994,66,WRITING (Screenplay Written Directly for the Screen),Gary Ross,Dave,False
1993,1994,66,ACTRESS IN A SUPPORTING ROLE,Rosie Perez,Fearless,False
1993,1994,66,SOUND,"Chris Carpenter, D. M. Hemphill, Bill W. Benton, Lee Orloff",Geronimo: An American Legend,False
1993,1994,66,ACTOR IN A SUPPORTING ROLE,John Malkovich,In the Line of Fire,False
1993,1994,66,FILM EDITING,Anne V. Coates,In the Line of Fire,False
1993,1994,66,WRITING (Screenplay Written Directly for the Screen),Jeff Maguire,In the Line of Fire,False
1993,1994,66,ACTOR IN A LEADING ROLE,Daniel Day-Lewis,In the Name of the Father,False
1993,1994,66,ACTOR IN A SUPPORTING ROLE,Pete Postlethwaite,In the Name of the Father,False
1993,1994,66,ACTRESS IN A SUPPORTING ROLE,Emma Thompson,In the Name of the Father,False
1993,1994,66,DIRECTING,Jim Sheridan,In the Name of the Father,False
1993,1994,66,FILM EDITING,Gerry Hambling,In the Name of the Father,False
1993,1994,66,BEST PICTURE,"Jim Sheridan, Producer",In the Name of the Father,False
1993,1994,66,WRITING (Screenplay Based on Material Previously Produced or Published),"Terry George, Jim Sheridan",In the Name of the Father,False
1993,1994,66,SOUND,"Gary Summers, Gary Rydstrom, Shawn Murphy, Ron Judkins",Jurassic Park,True
1993,1994,66,SOUND EFFECTS EDITING,"Gary Rydstrom, Richard Hymns",Jurassic Park,True
1993,1994,66,VISUAL EFFECTS,"Dennis Muren, Stan Winston, Phil Tippett, Michael Lantieri",Jurassic Park,True
1993,1994,66,MAKEUP,"Greg Cannom, Ve Neill, Yolanda Toussieng",Mrs. Doubtfire,True
1993,1994,66,ACTOR IN A LEADING ROLE,Tom Hanks,Philadelphia,True
1993,1994,66,MAKEUP,"Carl Fullerton, Alan D'Angerio",Philadelphia,False
1993,1994,66,MUSIC (Original Song),Music and Lyric by Neil Young,Philadelphia,False
1993,1994,66,MUSIC (Original Song),Music and Lyric by Bruce Springsteen,Philadelphia,True
1993,1994,66,WRITING (Screenplay Written Directly for the Screen),Ron Nyswaner,Philadelphia,False
1993,1994,66,MUSIC (Original Song),"Music and Lyric by Janet Jackson, James Harris III and Terry Lewis",Poetic Justice,False
1993,1994,66,ACTOR IN A LEADING ROLE,Liam Neeson,Schindler's List,False
1993,1994,66,ACTOR IN A SUPPORTING ROLE,Ralph Fiennes,Schindler's List,False
1993,1994,66,ART DIRECTION,Art Direction:  Allan Starski;  Set Decoration:  Ewa Braun,Schindler's List,True
