year_film,year_ceremony,ceremony,category,nominee,film,winner
1995,1996,53,Best Original Song - Motion Picture,"You've Got a Friend In Me, Randy Newman",Toy Story,False
1995,1996,53,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Steve Martin,Father of the Bride Part II,False
1995,1996,53,Best Performance by an Actor in a Motion Picture - Drama,Anthony Hopkins,Nixon,False
1995,1996,53,Best Performance by an Actress in a Motion Picture - Drama,Sharon Stone,Casino,True
1995,1996,53,Best Director - Motion Picture,Martin Scorsese,Casino,False
1995,1996,53,Best Performance by an Actress in a Motion Picture - Drama,Emma Thompson,Sense and Sensibility,False
1995,1996,53,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kate Winslet,Sense and Sensibility,False
1995,1996,53,Best Director - Motion Picture,Ang Lee,Sense and Sensibility,False
1995,1996,53,Best Screenplay - Motion Picture,Emma Thompson,Sense and Sensibility,True
1995,1996,53,Best Original Score - Motion Picture,Patrick Doyle,Sense and Sensibility,False
1995,1996,53,Best Performance by an Actor in a Motion Picture - Musical or Comedy,John Travolta,Get Shorty,True
1995,1996,53,Best Screenplay - Motion Picture,Scott Frank,Get Shorty,False
1995,1996,53,Best Performance by an Actress in a Motion Picture - Drama,Elisabeth Shue,Leaving Las Vegas,False
1995,1996,53,Best Performance by an Actor in a Motion Picture - Drama,Nicolas Cage,Leaving Las Vegas,True
1995,1996,53,Best Director - Motion Picture,Mike Figgis,Leaving Las Vegas,False
1995,1996,53,Best Performance by an Actress in a Motion Picture - Drama,Susan Sarandon,Dead Man Walking,False
1995,1996,53,Best Performance by an Actor in a Motion Picture - Drama,Sean Penn,Dead Man Walking,False
1995,1996,53,Best Screenplay - Motion Picture,Tim Robbins,Dead Man Walking,False
1995,1996,53,Best Performance by an Actor in a Motion Picture - Drama,Ian McKellen,Richard III,False
1995,1996,53,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Nicole Kidman,To Die For,True
1995,1996,53,Best Original Score - Motion Picture,Alan Menken,Pocahontas,False
1995,1996,53,Best Original Song - Motion Picture,"Colors of the Wind, Alan Menken, Stephen Schwartz",Pocahontas,True
1995,1996,53,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mira Sorvino,Mighty Aphrodite,True
1995,1996,53,Best Performance by an Actor in a Motion Picture - Drama,Richard Dreyfuss,Mr. Holland's Opus,False
1995,1996,53,Best Screenplay - Motion Picture,Patrick Sheane Duncan,Mr. Holland's Opus,False
1995,1996,53,Best Director - Motion Picture,Mel Gibson,Braveheart,True
1995,1996,53,Best Screenplay - Motion Picture,Randall Wallace,Braveheart,False
1995,1996,53,Best Original Score - Motion Picture,James Horner,Braveheart,False
1976,1977,34,Best Performance by an Actor in a Motion Picture - Drama,Robert De Niro,Taxi Driver,False
1976,1977,34,Best Screenplay - Motion Picture,Paul Schrader,Taxi Driver,False
1995,1996,53,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kathleen Quinlan,Apollo 13,False
1995,1996,53,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ed Harris,Apollo 13,False
1995,1996,53,Best Director - Motion Picture,Ron Howard,Apollo 13,False
1995,1996,53,Best Performance by an Actor in a Supporting Role in any Motion Picture,Tim Roth,Rob Roy,False
1995,1996,53,Best Original Song - Motion Picture,"""Hold Me, Thrill Me, Kiss Me, Kill Me"", U2",Batman Forever,False
1995,1996,53,Best Original Score - Motion Picture,Michael Kamen,Don Juan DeMarco,False
1995,1996,53,Best Original Song - Motion Picture,"Have You Ever Really Loved a Woman?, Bryan Adams, Michael Kamen, Robert John Lange",Don Juan DeMarco,False
1994,1995,52,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Johnny Depp,Ed Wood,False
1994,1995,52,Best Performance by an Actor in a Supporting Role in any Motion Picture,Martin Landau,Ed Wood,True
1994,1995,52,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Emma Thompson,Junior,False
1994,1995,52,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Arnold Schwarzenegger,Junior,False
1994,1995,52,Best Original Song - Motion Picture,"Look What Love Has Done, James Newton Howard, Carole Bayer Sager, James Ingram, Patty Smyth",Junior,False
1977,1978,35,Best Performance by an Actor in a Supporting Role in any Motion Picture,Alec Guinness,Star Wars: Episode IV - A New Hope,False
1977,1978,35,Best Director - Motion Picture,George Lucas,Star Wars: Episode IV - A New Hope,False
1977,1978,35,Best Original Score - Motion Picture,John Williams,Star Wars: Episode IV - A New Hope,True
1994,1995,52,Best Performance by an Actor in a Motion Picture - Drama,Brad Pitt,Legends of the Fall,False
1994,1995,52,Best Director - Motion Picture,Edward Zwick,Legends of the Fall,False
1994,1995,52,Best Original Score - Motion Picture,James Horner,Legends of the Fall,False
1994,1995,52,Best Performance by an Actor in a Motion Picture - Drama,Paul Newman,Nobody's Fool,False
1994,1995,52,Best Performance by an Actress in a Motion Picture - Drama,Jodie Foster,Nell,False
1994,1995,52,Best Original Score - Motion Picture,Mark Isham,Nell,False
1994,1995,52,Best Director - Motion Picture,Oliver Stone,Natural Born Killers,False
1994,1995,52,Best Performance by an Actor in a Motion Picture - Drama,John Travolta,Pulp Fiction,False
1994,1995,52,Best Performance by an Actress in a Supporting Role in any Motion Picture,Uma Thurman,Pulp Fiction,False
1994,1995,52,Best Performance by an Actor in a Supporting Role in any Motion Picture,Samuel L. Jackson,Pulp Fiction,False
1994,1995,52,Best Director - Motion Picture,Quentin Tarantino,Pulp Fiction,False
1994,1995,52,Best Screenplay - Motion Picture,Quentin Tarantino,Pulp Fiction,True
1994,1995,52,Best Performance by an Actor in a Supporting Role in any Motion Picture,John Turturro,Quiz Show,False
1994,1995,52,Best Director - Motion Picture,Robert Redford,Quiz Show,False
1994,1995,52,Best Screenplay - Motion Picture,Paul Attanasio,Quiz Show,False
1994,1995,52,Best Performance by an Actress in a Motion Picture - Drama,Miranda Richardson,Tom & Viv,False
1993,1994,51,Best Performance by an Actor in a Supporting Role in any Motion Picture,Leonardo DiCaprio,What's Eating Gilbert Grape,False
1995,1996,53,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Sandra Bullock,While You Were Sleeping,False
1994,1995,52,Best Performance by an Actress in a Supporting Role in any Motion Picture,Dianne Wiest,Bullets Over Broadway,True
1994,1995,52,Best Performance by an Actor in a Motion Picture - Drama,Tom Hanks,Forrest Gump,True
1994,1995,52,Best Performance by an Actress in a Supporting Role in any Motion Picture,Robin Wright,Forrest Gump,False
1994,1995,52,Best Performance by an Actor in a Supporting Role in any Motion Picture,Gary Sinise,Forrest Gump,False
1994,1995,52,Best Director - Motion Picture,Robert Zemeckis,Forrest Gump,True
1994,1995,52,Best Screenplay - Motion Picture,Eric Roth,Forrest Gump,False
1994,1995,52,Best Original Score - Motion Picture,Alan Silvestri,Forrest Gump,False
1994,1995,52,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Andie MacDowell,Four Weddings and a Funeral,False
1994,1995,52,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Hugh Grant,Four Weddings and a Funeral,True
1994,1995,52,Best Screenplay - Motion Picture,Richard Curtis,Four Weddings and a Funeral,False
1994,1995,52,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Geena Davis,Speechless,False
1994,1995,52,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Jamie Lee Curtis,True Lies,True
1993,1994,51,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Anjelica Huston,Addams Family Values,False
1994,1995,52,Best Performance by an Actress in a Motion Picture - Drama,Jessica Lange,Blue Sky,True
1993,1994,51,Best Performance by an Actress in a Supporting Role in any Motion Picture,Penelope Ann Miller,Carlito's Way,False
1993,1994,51,Best Performance by an Actor in a Supporting Role in any Motion Picture,Sean Penn,Carlito's Way,False
1994,1995,52,Best Original Song - Motion Picture,"The Color of the Night, Lauren Christy, Jud J. Friedman, Dominic Frontiere",Color of Night,False
1993,1994,51,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Kevin Kline,Dave,False
1993,1994,51,Best Performance by an Actress in a Supporting Role in any Motion Picture,Rosie Perez,Fearless,False
1994,1995,52,Best Original Song - Motion Picture,"I'll Remember, Madonna, Patrick Leonard, Richard Page",With Honors,False
1993,1994,51,Best Performance by an Actor in a Supporting Role in any Motion Picture,John Malkovich,In the Line of Fire,False
1993,1994,51,Best Performance by an Actor in a Motion Picture - Drama,Daniel Day-Lewis,In the Name of the Father,False
1993,1994,51,Best Performance by an Actress in a Supporting Role in any Motion Picture,Emma Thompson,In the Name of the Father,False
1993,1994,51,Best Original Song - Motion Picture,"(You Made Me the) Thief of Your Heart, Bono, Gavin Friday, Maurice Seezer",In the Name of the Father,False
1993,1994,51,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Diane Keaton,Manhattan Murder Mystery,False
