year_film,year_ceremony,ceremony,award_id,nominee,film,winner
1995,1996,68,1,Randy Newman,Toy Story,False
1995,1996,68,2,Music and Lyric by Randy Newman,Toy Story,False
1995,1996,68,3,"Screenplay by Joss Whedon, Andrew Stanton, Joel Cohen, Alec Sokolow;  Story by John Lasseter, Peter Docter, Andrew Stanton, Joe Ranft",Toy Story,False
1995,1996,68,1,John Williams,Sabrina,False
1995,1996,68,2,Music by John Williams; Lyric by Alan Bergman and Marilyn Bergman,Sabrina,False
1995,1996,68,4,Anthony Hopkins,Nixon,False
1995,1996,68,5,Joan Allen,Nixon,False
1995,1996,68,6,John Williams,Nixon,False
1995,1996,68,3,"Stephen J. Rivele, Christopher Wilkinson, Oliver Stone",Nixon,False
1995,1996,68,7,Sharon Stone,Casino,False
1995,1996,68,7,Emma Thompson,Sense and Sensibility,False
1995,1996,68,5,Kate Winslet,Sense and Sensibility,False
1995,1996,68,8,Michael Coulter,Sense and Sensibility,False
1995,1996,68,9,"Jenny Beavan, John Bright",Sense and Sensibility,False
1995,1996,68,6,Patrick Doyle,Sense and Sensibility,False
1995,1996,68,10,"Lindsay Doran, Producer",Sense and Sensibility,False
1995,1996,68,11,Emma Thompson,Sense and Sensibility,True
1995,1996,68,4,Nicolas Cage,Leaving Las Vegas,True
1995,1996,68,7,Elisabeth Shue,Leaving Las Vegas,False
1995,1996,68,12,Mike Figgis,Leaving Las Vegas,False
1995,1996,68,11,Mike Figgis,Leaving Las Vegas,False
1995,1996,68,13,James Cromwell,Babe,False
1995,1996,68,14,Art Direction:  Roger Ford;  Set Decoration:  Kerrie Brown,Babe,False
1995,1996,68,12,Chris Noonan,Babe,False
1995,1996,68,15,"Marcus D'Arcy, Jay Friedkin",Babe,False
1995,1996,68,10,"George Miller, Doug Mitchell and Bill Miller, Producers",Babe,False
1995,1996,68,16,"Scott E. Anderson, Charles Gibson, Neal Scanlan, John Cox",Babe,True
1995,1996,68,11,"George Miller, Chris Noonan",Babe,False
1995,1996,68,4,Sean Penn,Dead Man Walking,False
1995,1996,68,7,Susan Sarandon,Dead Man Walking,True
1995,1996,68,12,Tim Robbins,Dead Man Walking,False
1995,1996,68,2,Music and Lyric by Bruce Springsteen,Dead Man Walking,False
1995,1996,68,14,Tony Burrough,Richard III,False
1995,1996,68,9,Shuna Harwood,Richard III,False
1995,1996,68,14,Eugenio Zanetti,Restoration,True
1995,1996,68,9,James Acheson,Restoration,True
1995,1996,68,1,Music by Alan Menken; Lyrics by Stephen Schwartz; Orchestral Score by Alan Menken,Pocahontas,True
1995,1996,68,2,Music by Alan Menken; Lyric by Stephen Schwartz,Pocahontas,True
1995,1996,68,5,Mira Sorvino,Mighty Aphrodite,True
1995,1996,68,3,Woody Allen,Mighty Aphrodite,False
1995,1996,68,5,Mare Winningham,Georgia,False
