movieId,count1,count2,count3,count4,count5
1,1,7,42,100,65
2,2,7,40,47,14
3,4,3,22,17,6
4,1,2,4,0,0
5,1,8,27,9,4
6,1,2,23,44,32
7,5,3,24,18,4
8,1,1,5,0,1
9,0,3,9,2,2
10,3,9,45,55,20
11,1,3,21,33,12
12,6,3,6,3,1
13,0,1,5,2,0
14,0,0,6,9,3
15,1,4,2,5,1
16,2,2,14,32,32
17,5,1,13,27,21
18,0,2,5,9,4
19,10,28,21,24,5
20,2,6,2,5,0
21,2,6,32,40,9
22,1,3,19,10,3
23,1,3,5,5,2
24,1,5,12,7,3
25,4,7,19,25,21
26,0,0,5,8,0
27,0,2,4,0,3
28,0,0,1,3,7
29,0,3,2,18,15
30,1,0,0,2,0
31,2,4,15,14,3
32,1,3,33,83,57
34,4,11,30,53,30
36,3,1,11,36,16
38,1,1,2,0,0
39,8,7,42,33,14
40,0,0,0,1,1
41,0,0,5,8,2
42,0,2,3,2,0
43,0,1,4,3,0
44,8,13,13,11,1
45,0,3,17,8,4
46,2,2,5,4,2
47,4,8,34,76,81
48,5,9,25,21,8
49,0,0,1,0,0
50,2,3,25,61,113
52,1,1,12,11,3
53,0,0,0,0,2
54,1,1,0,1,0
55,0,0,0,1,0
57,0,1,6,0,1
58,0,3,5,14,15
60,2,5,12,12,3
61,0,0,2,3,1
62,3,4,25,24,24
63,1,1,3,2,0
64,1,2,2,0,0
65,6,7,13,3,2
66,2,1,5,1,0
68,0,1,2,1,1
69,0,1,5,9,5
70,2,8,9,26,10
71,1,4,0,0,0
72,1,1,1,3,1
73,0,1,4,8,0
74,0,0,2,4,2
75,2,0,3,0,0
76,1,2,4,5,3
77,0,0,0,1,0
78,0,0,2,1,0
79,2,7,2,5,1
80,0,0,0,2,0
81,0,2,8,3,1
82,1,0,1,2,4
83,0,0,1,0,0
85,1,0,2,0,4
86,0,0,4,7,4
87,1,1,5,0,0
88,1,3,4,6,2
89,0,1,4,5,0
92,1,3,1,3,0
93,1,1,4,3,0
94,0,0,1,8,1
95,5,16,35,21,7
96,0,0,0,1,0
97,0,0,3,3,4
99,0,0,0,0,2
100,1,2,10,1,0
101,1,1,4,9,8
102,3,0,0,1,1
103,0,0,3,0,0
104,3,10,30,39,17
105,1,1,12,7,2
106,0,0,0,1,0
107,1,2,12,7,4
108,0,0,0,1,0
110,5,8,36,87,101
111,0,4,17,36,47
112,1,3,17,17,8
113,0,0,2,1,0
116,0,0,2,1,2
117,0,0,1,0,0
118,0,1,1,0,0
119,0,0,2,0,0
121,0,0,0,2,0
122,1,4,9,2,0
123,0,0,1,0,3
125,1,1,2,5,3
126,2,3,2,0,0
128,0,0,1,0,0
129,0,1,0,0,0
132,0,2,3,1,0
135,4,4,12,10,1
137,0,0,1,0,0
140,0,0,8,6,2
141,3,3,32,40,8
144,0,2,4,5,1
145,2,5,19,22,3
146,0,0,2,1,0
147,0,1,5,7,2
148,0,0,0,0,1
149,0,1,0,0,0
150,1,12,46,85,57
151,1,3,16,17,7
152,1,1,0,0,0
153,9,23,74,24,7
154,0,0,3,7,2
155,2,1,1,2,0
156,0,1,0,2,0
157,0,5,3,2,1
158,8,12,25,12,5
159,1,3,5,4,1
160,6,9,26,12,4
161,2,6,30,48,17
162,0,0,1,9,7
163,3,3,23,22,15
164,0,1,8,4,1
165,2,12,53,48,29
166,0,1,1,1,0
168,5,11,15,13,10
169,2,2,5,1,0
170,1,3,20,6,5
171,0,0,3,1,2
172,7,15,16,12,3
173,10,11,28,11,2
174,2,3,2,1,2
175,0,0,4,9,7
176,0,0,0,8,5
177,2,0,4,2,0
178,1,0,0,0,0
179,1,1,0,0,0
180,1,4,8,20,3
181,6,2,6,3,0
183,0,0,1,1,0
184,0,0,1,1,0
185,10,14,51,28,9
186,5,6,24,11,2
187,0,0,1,1,2
188,0,2,3,5,2
189,0,0,1,0,0
190,1,1,2,0,1
191,1,3,1,0,1
193,6,12,11,5,1
194,1,2,5,3,7
195,0,4,1,4,1
196,5,10,21,9,0
198,0,6,12,7,3
199,0,0,1,1,2
201,0,0,1,0,0
202,0,0,1,0,0
203,0,0,13,6,3
204,5,6,11,6,2
205,0,1,5,3,0
206,0,1,0,1,0
207,0,3,7,7,4
208,10,20,47,36,2
209,0,0,2,1,0
210,0,1,2,1,0
211,0,0,1,1,0
212,0,1,0,2,0
213,1,0,1,0,4
214,0,0,0,2,0
215,1,1,2,10,10
216,3,5,17,16,8
217,2,2,1,0,1
218,0,3,4,5,2
219,0,0,1,0,0
220,0,0,1,0,0
222,2,0,2,8,4
223,3,3,18,49,31
224,1,0,14,21,4
225,0,3,23,20,6
227,3,3,11,4,1
228,1,0,2,0,0
229,0,0,4,2,1
230,0,1,13,8,2
231,13,18,51,33,18
232,0,3,0,5,6
233,0,0,6,6,0
234,2,6,6,3,0
235,1,6,16,32,15
236,1,2,20,16,6
237,2,1,8,9,2
238,0,0,1,0,1
239,2,2,8,2,3
240,0,2,2,0,0
241,0,0,0,1,0
242,0,1,0,4,0
243,0,0,1,0,0
246,0,0,5,9,15
247,0,0,6,9,6
248,0,4,7,4,2
249,0,2,4,9,3
250,1,1,3,1,0
251,0,0,2,1,0
252,0,5,15,19,4
253,7,5,36,42,19
254,0,0,1,0,0
255,3,2,1,0,1
256,2,10,15,6,2
257,0,1,8,2,3
258,2,2,4,2,0
259,0,0,4,1,0
260,2,10,19,92,128
261,0,1,10,21,10
262,0,0,4,13,4
263,0,0,0,1,0
265,0,4,7,8,14
266,3,6,23,29,7
267,3,2,5,5,2
269,0,0,2,0,0
270,0,1,2,0,2
271,0,1,1,1,1
272,2,1,7,11,10
273,3,4,11,8,2
274,1,1,2,3,0
275,1,4,1,0,0
276,0,3,12,5,2
277,3,4,17,7,7
278,1,1,0,0,0
279,0,0,2,0,0
280,0,0,4,4,5
281,0,0,6,5,3
282,1,5,16,14,4
283,0,1,0,1,1
284,0,0,0,0,1
285,0,0,0,1,0
287,0,0,1,0,0
288,8,12,32,26,14
289,0,1,4,0,3
290,0,0,4,5,5
291,0,2,1,0,0
292,5,2,45,37,12
293,3,1,24,51,54
294,0,0,2,0,0
295,0,0,1,0,0
296,8,9,34,89,167
298,0,1,0,0,0
299,0,0,2,0,2
300,1,4,35,30,11
301,0,0,0,1,0
302,0,0,4,1,0
303,3,3,17,8,1
304,0,1,0,1,1
305,2,0,5,1,1
306,1,0,1,4,10
307,2,1,1,8,12
308,0,1,1,12,6
310,0,0,1,0,0
311,0,0,1,0,0
312,5,3,1,0,0
313,0,0,2,1,0
314,0,0,6,7,3
315,2,7,16,10,3
316,2,15,55,53,15
317,6,7,33,25,10
318,2,2,24,87,202
319,2,0,6,6,6
320,0,0,1,0,0
321,0,0,0,2,0
322,0,2,2,4,2
324,0,0,0,1,0
325,0,5,1,0,1
326,0,0,1,1,1
327,4,6,11,11,2
328,0,4,1,3,2
329,2,8,49,38,11
330,0,1,4,1,0
331,0,0,2,0,0
332,1,2,6,2,1
333,2,3,12,15,18
334,0,0,1,2,2
335,0,0,1,1,0
336,0,0,1,0,0
337,1,3,19,34,20
338,1,7,6,4,1
339,2,6,40,37,13
340,0,0,3,2,0
341,0,0,0,2,0
342,2,3,11,14,3
343,0,1,3,1,0
344,12,32,54,46,17
345,3,0,6,22,5
346,0,0,3,3,0
347,0,0,4,1,1
348,1,4,8,9,8
349,0,7,40,49,14
350,1,4,26,20,6
351,0,4,6,6,1
352,0,1,1,0,0
353,0,7,22,20,15
354,0,1,2,3,0
355,8,13,18,2,1
356,2,9,42,121,155
357,8,5,25,47,18
358,0,3,6,0,0
359,0,0,1,0,0
360,1,0,7,0,0
361,0,2,10,5,0
362,1,3,11,11,8
363,0,0,0,2,0
364,1,5,36,72,58
365,0,1,1,2,0
366,1,3,5,1,2
367,11,15,65,52,14
368,2,4,27,33,8
369,0,0,0,2,0
370,3,9,24,18,4
371,1,0,12,7,1
372,3,5,7,5,1
373,0,0,6,3,2
374,9,2,10,3,1
376,0,5,19,14,2
377,3,13,56,70,29
378,1,0,5,1,0
379,3,7,6,5,0
380,2,17,68,60,31
381,0,0,4,4,3
382,0,3,8,2,3
383,1,5,8,5,2
384,0,0,1,1,0
385,0,0,0,1,0
386,0,0,1,0,0
387,1,1,1,1,0
388,0,1,0,1,0
389,0,0,0,1,1
390,0,1,1,1,2
391,0,0,0,0,1
393,1,4,3,1,1
405,2,2,8,0,0
406,0,0,1,0,0
407,0,1,3,2,2
408,0,1,0,1,0
409,0,1,0,0,0
410,2,10,46,22,4
412,0,3,4,5,3
413,2,7,10,6,1
414,0,4,2,0,0
415,1,6,8,1,0
416,1,3,3,1,0
417,0,3,2,4,4
418,0,0,2,0,0
419,3,4,8,3,2
420,6,14,28,9,2
421,0,1,7,4,0
422,0,0,4,1,0
423,0,2,7,1,0
424,1,1,1,0,0
425,0,0,0,2,0
426,0,0,6,1,0
427,3,2,4,3,0
428,0,0,7,7,4
429,1,3,2,0,0
430,0,0,1,0,1
431,1,0,11,22,8
432,8,10,29,6,2
433,0,3,3,2,0
434,6,11,59,19,6
435,12,17,25,7,2
436,0,4,1,2,0
437,1,5,3,0,0
438,0,3,3,1,0
440,0,2,29,40,5
441,1,1,8,15,17
442,5,10,34,27,5
444,0,5,0,1,0
445,1,1,7,3,0
446,1,0,1,3,4
448,0,0,3,5,0
449,1,0,0,0,0
450,0,2,3,2,0
451,0,0,0,1,0
452,0,1,1,1,0
453,0,2,2,1,0
454,2,3,42,41,13
455,9,7,14,7,0
456,0,1,0,1,2
457,1,3,35,93,58
458,0,1,4,0,0
459,0,4,2,0,0
460,0,1,2,0,0
461,1,0,2,1,0
464,0,3,5,2,0
466,6,13,22,14,5
467,0,0,0,0,1
468,0,4,8,8,2
469,0,1,1,3,0
470,1,0,0,0,0
471,2,3,13,11,11
472,0,2,4,0,0
473,1,5,0,1,0
474,0,0,26,35,9
475,0,0,2,12,11
476,1,0,0,0,0
477,0,1,7,9,0
478,0,0,1,0,0
479,0,3,1,0,0
480,2,15,53,120,48
481,0,3,9,6,1
482,0,0,2,6,0
484,1,0,0,0,1
485,4,7,27,11,4
486,0,1,1,1,0
487,1,2,0,0,1
488,0,0,1,0,0
489,0,1,10,0,0
490,0,3,6,3,0
491,1,2,8,3,3
492,0,1,3,7,3
493,0,0,4,7,1
494,1,6,15,14,5
495,0,0,0,0,1
496,0,0,0,0,1
497,0,3,10,20,10
499,0,1,1,0,0
500,4,11,54,58,17
501,0,1,1,2,2
502,3,5,6,0,1
504,0,0,2,0,0
505,2,2,2,1,0
506,0,0,0,1,1
507,0,1,6,6,0
508,2,3,17,32,12
509,3,4,14,30,10
510,0,0,1,0,0
511,0,1,0,1,0
512,0,1,2,1,0
513,0,0,2,2,0
514,0,3,7,4,4
515,1,2,6,11,4
516,0,5,8,3,2
517,0,2,3,3,1
518,0,2,2,0,0
519,4,9,4,3,1
520,4,14,21,22,8
521,0,0,2,1,0
522,1,0,1,4,1
523,0,0,2,2,0
524,1,1,14,11,7
526,0,0,0,1,0
527,7,5,20,60,128
528,0,2,1,0,0
529,0,0,11,18,11
531,1,1,12,8,2
532,0,2,11,3,0
533,0,5,9,4,0
534,0,1,5,6,2
535,2,2,4,3,4
536,0,0,2,1,0
537,1,0,7,4,0
538,0,1,5,3,3
539,2,7,42,41,14
540,3,2,11,2,0
541,2,5,13,46,58
542,2,4,3,4,1
543,1,6,12,16,6
544,1,2,5,0,0
546,6,8,6,1,0
547,0,0,1,1,0
548,0,2,3,1,0
549,0,0,0,1,1
550,0,1,2,1,1
551,5,5,21,47,15
552,0,9,28,18,6
553,2,4,12,27,20
555,0,4,17,24,20
556,0,1,2,3,0
558,0,2,4,2,0
562,0,2,8,9,4
563,0,0,0,1,0
564,1,1,0,0,0
567,1,1,1,0,0
568,0,0,1,1,0
569,1,1,3,1,0
573,0,0,0,1,0
574,0,0,3,1,0
575,2,5,5,3,1
577,1,1,2,0,0
579,0,0,1,0,0
580,1,0,3,1,0
581,0,0,1,2,1
583,0,0,0,1,0
585,4,5,20,7,0
586,9,19,50,29,9
587,2,12,44,39,18
588,2,10,44,81,46
589,5,3,43,90,83
590,1,9,37,74,43
592,1,10,95,58,25
593,4,5,31,111,128
594,0,3,28,34,12
595,0,5,50,53,38
596,2,6,17,23,12
597,3,6,51,58,17
599,0,1,3,4,3
600,0,0,0,1,0
602,0,0,0,1,0
605,1,0,7,1,1
606,0,1,2,1,0
608,0,8,26,66,81
609,0,1,5,7,1
610,2,0,12,14,5
611,1,3,1,0,1
612,0,3,2,1,0
613,1,0,5,0,2
615,0,0,1,0,0
616,1,4,16,19,5
617,0,1,1,1,0
618,0,0,1,0,0
619,2,0,1,1,1
626,0,0,0,0,1
627,0,1,2,2,1
628,1,1,12,13,8
631,1,0,6,3,1
632,0,0,0,1,0
633,0,0,0,0,1
634,1,1,2,0,0
635,0,0,2,0,0
636,0,0,1,0,0
637,2,7,11,10,3
638,0,0,1,0,0
639,0,1,2,1,0
640,2,2,5,1,1
645,0,0,1,1,0
647,2,2,10,12,3
648,5,7,58,67,25
649,0,0,1,0,0
650,1,0,2,0,1
653,2,8,33,20,2
656,0,1,3,1,0
661,3,2,20,16,8
662,1,1,2,1,2
663,1,1,4,4,2
665,0,0,0,1,2
667,0,3,4,0,1
668,0,0,0,1,1
670,0,0,0,0,2
671,4,2,5,19,6
673,8,9,22,11,3
674,1,2,1,4,1
678,0,0,1,7,1
679,0,0,0,1,0
680,0,0,1,1,2
685,0,0,1,0,1
688,1,4,3,1,0
691,0,0,2,1,0
692,2,1,0,1,0
694,1,0,8,2,0
695,0,0,0,2,0
697,0,1,4,0,0
698,1,0,0,0,0
700,0,1,3,3,0
703,0,2,0,0,0
704,1,1,4,1,0
706,0,0,1,0,0
707,2,4,10,4,1
708,1,4,24,24,5
709,0,2,6,2,1
710,0,3,5,0,0
711,0,3,4,2,1
714,1,0,1,5,8
715,0,0,1,2,0
718,0,0,0,3,1
719,4,6,15,9,1
720,2,1,2,8,14
722,0,0,0,1,0
724,0,7,16,5,3
725,1,0,4,0,0
726,0,0,1,0,0
728,0,0,5,4,1
731,0,0,2,1,0
733,4,5,35,56,21
735,0,0,1,5,1
736,6,14,47,37,19
737,4,6,5,2,3
741,0,0,2,14,11
742,2,1,4,4,0
743,3,9,13,4,0
745,3,1,7,19,18
747,0,0,2,1,0
748,1,4,8,8,1
750,1,2,10,28,56
757,0,0,0,1,0
759,0,0,1,1,0
760,0,0,0,1,1
761,3,2,10,3,1
762,7,12,16,4,2
764,0,0,1,1,0
765,0,4,8,6,1
766,0,0,2,2,0
773,0,0,0,1,0
775,0,0,1,0,0
778,1,3,10,47,41
779,0,0,1,0,1
780,7,19,60,80,36
781,0,0,3,3,1
782,0,2,4,1,1
783,1,5,16,22,3
784,5,14,19,10,6
785,0,5,16,15,6
786,5,8,28,18,5
788,12,21,24,18,7
790,0,1,0,0,0
791,0,0,0,1,0
795,0,0,1,1,0
798,1,5,3,2,1
799,1,1,6,14,1
800,0,2,1,7,9
801,0,2,5,3,1
802,1,4,20,16,5
803,0,0,0,1,0
804,0,2,3,2,1
805,1,1,8,21,4
806,0,1,0,0,0
808,0,0,1,1,0
809,0,7,0,2,0
810,5,1,4,1,1
813,0,2,2,1,0
818,0,2,4,3,1
823,0,0,0,1,0
824,0,0,0,1,0
828,0,1,3,1,1
829,1,3,3,2,0
830,1,5,6,7,2
832,0,5,15,12,5
833,2,2,1,1,0
835,0,0,1,2,0
836,1,4,7,5,0
837,2,2,12,15,2
838,0,1,9,10,10
839,2,3,6,2,2
840,0,0,2,2,0
841,0,0,2,0,0
842,1,5,4,1,1
848,1,0,2,4,0
849,2,14,12,12,4
851,1,1,1,3,0
852,3,5,15,18,2
858,1,9,17,51,114
861,0,1,1,5,2
866,0,1,3,13,6
867,1,0,1,0,0
869,0,0,1,2,0
870,2,0,0,0,0
875,0,0,0,1,0
876,0,0,0,0,1
879,1,1,0,1,1
880,1,10,10,4,2
881,1,2,2,0,0
882,0,1,0,0,0
885,0,1,1,0,0
886,1,1,3,0,1
888,1,0,2,0,0
889,0,0,0,1,0
891,0,0,3,0,2
892,0,0,6,6,1
893,0,0,2,0,1
896,0,1,1,0,0
897,0,0,0,2,0
898,0,1,2,11,15
899,1,2,6,16,22
900,0,0,3,8,1
901,1,2,0,3,1
902,1,2,5,18,10
903,2,1,8,24,25
904,1,0,8,30,45
905,0,0,2,5,7
906,0,0,1,3,3
907,0,0,1,1,0
908,0,1,7,24,25
909,1,0,4,14,8
910,0,1,8,23,18
911,0,0,3,8,2
912,2,1,10,33,54
913,0,0,5,20,19
914,1,1,3,17,13
915,0,2,6,15,7
916,0,0,6,9,11
917,0,0,1,1,0
918,0,0,1,6,3
919,3,5,16,34,34
920,1,4,14,13,13
921,0,1,4,3,1
922,0,0,2,11,14
923,1,4,6,28,30
924,4,10,11,43,41
926,1,0,1,10,12
927,0,0,0,3,0
928,0,0,3,6,9
929,0,0,0,1,0
930,0,0,1,12,7
931,0,0,3,4,2
932,0,1,1,3,3
933,0,1,1,12,9
934,1,1,4,4,2
935,0,0,1,1,1
936,0,0,1,3,2
937,0,0,1,1,0
938,0,1,3,0,2
940,0,0,2,3,3
941,0,0,0,2,0
942,0,0,0,4,2
943,0,0,1,5,1
944,0,0,0,3,0
945,0,0,2,2,3
946,1,0,1,1,0
947,0,1,0,1,2
948,0,0,1,4,1
949,0,0,0,6,0
950,0,0,2,3,2
951,0,0,0,7,7
952,0,0,5,5,2
953,1,4,6,21,26
954,0,1,2,6,9
955,1,0,5,6,6
956,0,0,0,1,0
959,0,0,0,1,0
961,0,0,0,1,0
963,0,0,1,0,0
965,0,1,0,6,4
968,1,3,6,8,10
969,2,0,5,15,12
970,0,0,0,1,0
971,0,0,2,3,5
973,0,0,0,5,0
976,0,0,1,0,0
979,0,0,1,0,0
981,0,0,2,0,0
982,0,0,1,0,0
984,0,1,0,0,1
986,0,0,6,6,1
987,0,0,1,0,0
988,0,0,2,0,0
990,1,1,1,1,1
991,0,2,3,6,0
993,0,0,1,0,0
994,0,0,1,6,4
996,1,5,6,1,0
998,0,2,0,0,1
999,0,3,5,4,0
1003,0,2,0,1,0
1004,0,1,4,1,0
1005,2,2,3,1,0
1006,0,1,0,4,0
1007,0,5,3,2,0
1008,0,0,1,0,0
1009,0,2,4,3,0
1010,0,2,4,3,0
1011,1,2,2,2,1
1012,0,1,2,6,0
1013,0,2,6,3,1
1014,1,0,3,0,1
1015,1,5,5,9,0
1016,0,1,3,1,0
1017,0,1,3,5,1
1018,1,2,2,1,0
1019,0,2,7,5,3
1020,0,6,21,7,3
1021,6,8,8,5,0
1022,0,2,19,14,7
1023,0,1,5,3,4
1024,0,1,1,3,1
1025,0,1,8,13,3
1027,1,6,11,9,1
1028,1,2,14,32,22
1029,0,5,11,15,4
1030,0,6,6,3,0
1031,0,3,9,7,5
1032,3,1,14,17,5
1033,0,1,6,10,3
1034,1,0,2,0,2
1035,0,7,10,19,28
1036,3,6,29,64,43
1037,3,5,9,7,0
1040,0,0,1,0,0
1041,0,0,0,4,7
1042,0,6,22,7,7
1043,0,3,2,0,0
