actorId,actorName
1,Tom Hanks
2,Tim Allen
3,Don Rickles
4,Robin Williams
5,Kirsten Dunst
6,Bradley Pierce
7,Walter Matthau
8,Jack Lemmon
9,Ann-Margret
10,Whitney Houston
11,Angela Bassett
12,Loretta Devine
13,Steve Martin
14,Diane Keaton
15,Martin Short
16,Al Pacino
17,Robert De Niro
18,Val Kilmer
19,Harrison Ford
20,Julia Ormond
21,Greg Kinnear
22,Jonathan Taylor Thomas
23,Brad Renfro
24,Eric Schweig
25,Jean-Claude Van Damme
26,Powers Boothe
27,Raymond J. Barry
28,Pierce Brosnan
29,Sean Bean
30,Izabella Scorupco
31,Michael Douglas
32,Annette Bening
33,Martin Sheen
34,Leslie Nielsen
35,Mel Brooks
36,Amy Yasbeck
37,Kevin Bacon
38,Bob Hoskins
39,Bridget Fonda
40,Anthony Hopkins
41,Joan Allen
42,Geena Davis
43,Matthew Modine
44,Frank Langella
45,Sharon Stone
46,Joe Pesci
47,Emma Thompson
48,Kate Winslet
49,Alan Rickman
50,Tim Roth
51,Jennifer Beals
52,Antonio Banderas
53,Jim Carrey
54,Ian McNeice
55,Simon Callow
56,Wesley Snipes
57,Woody Harrelson
58,Jennifer Lopez
59,John Travolta
60,Gene Hackman
61,Rene Russo
62,Sigourney Weaver
63,Holly Hunter
64,Dermot Mulroney
65,Sylvester Stallone
66,Julianne Moore
67,Mary Steenburgen
68,Sean Patrick Flanery
69,Lance Henriksen
70,Nicolas Cage
71,Elisabeth Shue
72,Julian Sands
73,Laurence Fishburne
74,Irène Jacob
75,Kenneth Branagh
76,Christina Ricci
77,Rosie O'Donnell
78,Thora Birch
79,Amanda Root
80,Ciarán Hinds
81,Susan Fleetwood
82,Ron Perlman
83,Dominique Pinon
84,Judith Vittet
85,Gong Li
86,Li Baotian
87,Sun Chun
88,Michelle Pfeiffer
89,George Dzundza
90,Courtney B. Vance
91,Bruce Willis
92,Madeleine Stowe
93,Brad Pitt
94,Christine Cavanaugh
95,Miriam Margolyes
96,Danny Mann
97,Susan Sarandon
98,Sean Penn
99,Robert Prosky
100,Kirstie Alley
101,Steve Guttenberg
102,Ashley Olsen
103,Alicia Silverstone
104,Stacey Dash
105,Brittany Murphy
106,Richard Harris
107,James Earl Jones
108,Charles S. Dutton
109,Ian McKellen
110,Jim Broadbent
111,Larenz Tate
112,Keith David
113,Chris Tucker
114,Robert Downey Jr.
115,Meg Ryan
116,Sam Neill
117,Robin Shou
118,Linden Ashby
119,Bridgette Wilson-Sampras
120,Nicole Kidman
121,Matt Dillon
122,Joaquin Phoenix
123,Winona Ryder
124,Anne Bancroft
125,Ellen Burstyn
126,Morgan Freeman
127,Gwyneth Paltrow
128,Irene Bedard
129,Mel Gibson
130,David Ogden Stiers
131,Pascale Bussières
132,Rachael Crawford
133,Henry Czerny
134,Stephen Baldwin
135,Gabriel Byrne
136,Benicio del Toro
137,Woody Allen
138,Mira Sorvino
139,Helena Bonham Carter
140,Enrico Lo Verso
141,Michele Placido
142,Piro Milkani
143,Olivia d'Abo
144,Chauncey Leopardi
145,Jennifer Jason Leigh
