year_film,year_ceremony,ceremony,award_id,nominee,film,winner
1995,1996,68,o1,Randy Newman,Toy Story,False
1995,1996,68,o2,Music and Lyric by Randy Newman,Toy Story,False
1995,1996,68,o3,Screenplay by Joss Whedon, Andrew Stanton, Joel Cohen, Alec Sokolow;  Story by John Lasseter, Peter Docter, Andrew Stanton, Joe Ranft,Toy Story,False
1995,1996,68,o1,John Williams,Sabrina,False
1995,1996,68,o2,Music by John Williams; Lyric by Alan Bergman and Marilyn Bergman,Sabrina,False
1995,1996,68,o4,Anthony Hopkins,Nixon,False
1995,1996,68,o5,Joan Allen,Nixon,False
1995,1996,68,o6,John Williams,Nixon,False
1995,1996,68,o3,Stephen J. Rivele, Christopher Wilkinson, Oliver Stone,Nixon,False
1995,1996,68,o7,Sharon Stone,Casino,False
1995,1996,68,o7,Emma Thompson,Sense and Sensibility,False
1995,1996,68,o5,Kate Winslet,Sense and Sensibility,False
1995,1996,68,o8,Michael Coulter,Sense and Sensibility,False
1995,1996,68,o9,Jenny Beavan, John Bright,Sense and Sensibility,False
1995,1996,68,o6,Patrick Doyle,Sense and Sensibility,False
1995,1996,68,o10,Lindsay Doran, Producer,Sense and Sensibility,False
1995,1996,68,o11,Emma Thompson,Sense and Sensibility,True
1995,1996,68,o4,Nicolas Cage,Leaving Las Vegas,True
1995,1996,68,o7,Elisabeth Shue,Leaving Las Vegas,False
1995,1996,68,o12,Mike Figgis,Leaving Las Vegas,False
1995,1996,68,o11,Mike Figgis,Leaving Las Vegas,False
1995,1996,68,o13,James Cromwell,Babe,False
1995,1996,68,o14,Art Direction:  Roger Ford;  Set Decoration:  Kerrie Brown,Babe,False
1995,1996,68,o12,Chris Noonan,Babe,False
1995,1996,68,o15,Marcus D'Arcy, Jay Friedkin,Babe,False
1995,1996,68,o10,George Miller, Doug Mitchell and Bill Miller, Producers,Babe,False
1995,1996,68,o16,Scott E. Anderson, Charles Gibson, Neal Scanlan, John Cox,Babe,True
1995,1996,68,o11,George Miller, Chris Noonan,Babe,False
1995,1996,68,o4,Sean Penn,Dead Man Walking,False
1995,1996,68,o7,Susan Sarandon,Dead Man Walking,True
1995,1996,68,o12,Tim Robbins,Dead Man Walking,False
1995,1996,68,o2,Music and Lyric by Bruce Springsteen,Dead Man Walking,False
1995,1996,68,o14,Tony Burrough,Richard III,False
1995,1996,68,o9,Shuna Harwood,Richard III,False
1995,1996,68,o14,Eugenio Zanetti,Restoration,True
1995,1996,68,o9,James Acheson,Restoration,True
1995,1996,68,o1,Music by Alan Menken; Lyrics by Stephen Schwartz; Orchestral Score by Alan Menken,Pocahontas,True
1995,1996,68,o2,Music by Alan Menken; Lyric by Stephen Schwartz,Pocahontas,True
1995,1996,68,o5,Mira Sorvino,Mighty Aphrodite,True
1995,1996,68,o3,Woody Allen,Mighty Aphrodite,False
1995,1996,68,o5,Mare Winningham,Georgia,False
1995,1996,68,o4,Richard Dreyfuss,Mr. Holland's Opus,False
1995,1996,68,o8,John Toll,Braveheart,True
1995,1996,68,o9,Charles Knode,Braveheart,False
1995,1996,68,o12,Mel Gibson,Braveheart,True
1995,1996,68,o15,Steven Rosenblum,Braveheart,False
1995,1996,68,o17,Peter Frampton, Paul Pattison, Lois Burwell,Braveheart,True
1995,1996,68,o6,James Horner,Braveheart,False
1995,1996,68,o10,Mel Gibson, Alan Ladd, Jr. and Bruce Davey, Producers,Braveheart,True
1995,1996,68,o18,Andy Nelson, Scott Millan, Anna Behlmer, Brian Simmons,Braveheart,False
1995,1996,68,o19,Lon Bender, Per Hallberg,Braveheart,True
1995,1996,68,o3,Randall Wallace,Braveheart,False
1976,1977,49,o4,Robert De Niro,Taxi Driver,False
1976,1977,49,o5,Jodie Foster,Taxi Driver,False
1976,1977,49,o20,Bernard Herrmann,Taxi Driver,False
1976,1977,49,o10,Michael Phillips and Julia Phillips, Producers,Taxi Driver,False
1995,1996,68,o21,Jon Blair,Anne Frank Remembered,True
1996,1997,69,o2,Music and Lyric by Diane Warren,Up Close and Personal,False
1995,1996,68,o13,Ed Harris,Apollo 13,False
1995,1996,68,o5,Kathleen Quinlan,Apollo 13,False
1995,1996,68,o14,Art Direction:  Michael Corenblith;  Set Decoration:  Merideth Boswell,Apollo 13,False
1995,1996,68,o15,Mike Hill, Dan Hanley,Apollo 13,True
1995,1996,68,o6,James Horner,Apollo 13,False
1995,1996,68,o10,Brian Grazer, Producer,Apollo 13,False
1995,1996,68,o18,Rick Dior, Steve Pederson, Scott Millan, David MacMillan,Apollo 13,True
1995,1996,68,o16,Robert Legato, Michael Kanfer, Leslie Ekker, Matt Sweeney,Apollo 13,False
1995,1996,68,o11,William Broyles, Jr., Al Reinert,Apollo 13,False
1995,1996,68,o13,Tim Roth,Rob Roy,False
1995,1996,68,o8,Stephen Goldblatt,Batman Forever,False
1995,1996,68,o18,Donald O. Mitchell, Frank A. Montaño, Michael Herbick, Petur Hliddal,Batman Forever,False
1995,1996,68,o19,John Leveque, Bruce Stambler,Batman Forever,False
1995,1996,68,o15,Chris Lebenzon,Crimson Tide,False
1995,1996,68,o18,Kevin O'Connell, Rick Kline, Gregory H. Watkins, William B. Kaplan,Crimson Tide,False
1995,1996,68,o19,George Watters II,Crimson Tide,False
1995,1996,68,o1,Thomas Newman,Unstrung Heroes,False
1995,1996,68,o18,Steve Maslow, Gregg Landaker, Keith A. Wester,Waterworld,False
1995,1996,68,o2,Music and Lyric by Michael Kamen, Bryan Adams and Robert John Lange,Don Juan DeMarco,False
