movieId,title,genres,poster
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,https://image.tmdb.org/t/p/w500/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg
2,Jumanji (1995),Adventure|Children|Fantasy,https://image.tmdb.org/t/p/w500/nLXYV4WmYUF4i8pX0iE0H1rltmf.jpg
3,Grumpier Old Men (1995),Comedy|Romance,https://image.tmdb.org/t/p/w500/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg
4,Waiting to Exhale (1995),Comedy|Drama|Romance,https://image.tmdb.org/t/p/w500/afLVNPUxvBZ5laBeC4BeuOvTVfD.jpg
5,Father of the Bride Part II (1995),Comedy,https://image.tmdb.org/t/p/w500/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg
6,Heat (1995),Action|Crime|Thriller,https://image.tmdb.org/t/p/w500/qT3rcAX7dV457IpBXHzUBFeOExe.jpg
7,Sabrina (1995),Comedy|Romance,https://image.tmdb.org/t/p/w500/i8PbLJDPU7vCwwscWD625oHbJy.jpg
8,Tom and Huck (1995),Adventure|Children,https://image.tmdb.org/t/p/w500/tbkASqohjDMKia2GEX03oZD7FXA.jpg
9,Sudden Death (1995),Action,https://image.tmdb.org/t/p/w500/b7j7aSrwJ50iwK8hTW7jsqUhx6O.jpg
10,GoldenEye (1995),Action|Adventure|Thriller,https://image.tmdb.org/t/p/w500/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg
11,"American President, The (1995)",Comedy|Drama|Romance,https://image.tmdb.org/t/p/w500/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg
12,Dracula: Dead and Loving It (1995),Comedy|Horror,https://image.tmdb.org/t/p/w500/oUHSR1niF1TLSzpPcGKHvPJyKXJ.jpg
13,Balto (1995),Adventure|Animation|Children,https://image.tmdb.org/t/p/w500/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg
14,Nixon (1995),Drama,https://image.tmdb.org/t/p/w500/8O2sBYJq0K0EMpw67cU1PjVJ7w3.jpg
15,Cutthroat Island (1995),Action|Adventure|Romance,https://image.tmdb.org/t/p/w500/8g4sF1QthlNEt3lJhXNlYlbbkHN.jpg
16,Casino (1995),Crime|Drama,https://image.tmdb.org/t/p/w500/gziIkUSnYuj9ChCi8qOu2ZunpSC.jpg
17,Sense and Sensibility (1995),Drama|Romance,https://image.tmdb.org/t/p/w500/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg
18,Four Rooms (1995),Comedy,https://image.tmdb.org/t/p/w500/owych7bZ6AaaebBc6hFn9VYiGog.jpg
19,Ace Ventura: When Nature Calls (1995),Comedy,https://image.tmdb.org/t/p/w500/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,https://image.tmdb.org/t/p/w500/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg
21,Get Shorty (1995),Comedy|Crime|Thriller,https://image.tmdb.org/t/p/w500/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,https://image.tmdb.org/t/p/w500/4PJljXDKx6T8MtstilRDskbfFFb.jpg
23,Assassins (1995),Action|Crime|Thriller,https://image.tmdb.org/t/p/w500/lJrknvJCEvMhBfplXx0YnowWejv.jpg
24,Powder (1995),Drama|Sci-Fi,https://image.tmdb.org/t/p/w500/kImKATjY4EsK5MDgrmpJdGbQEbq.jpg
25,Leaving Las Vegas (1995),Drama|Romance,https://image.tmdb.org/t/p/w500/sy1TpBrA6g6KlZcn6iupgWCnLwE.jpg
26,Othello (1995),Drama,https://image.tmdb.org/t/p/w500/6u14UkDVPUVquXkZ5Hgb7UIEvUE.jpg
27,Now and Then (1995),Children|Drama,https://image.tmdb.org/t/p/w500/q31Ks8oAmM4Nq2CcGjyYYpdBAmh.jpg
28,Persuasion (1995),Drama|Romance,https://image.tmdb.org/t/p/w500/10hycdhFLq3M3y0ONxIMSiY8Mrs.jpg
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,https://image.tmdb.org/t/p/w500/slv9UxHya6vj52be5l3nEXFSLQX.jpg
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,https://image.tmdb.org/t/p/w500/tzG1UxUSfPACREjgBrsPDRUvneH.jpg
31,Dangerous Minds (1995),Drama,https://image.tmdb.org/t/p/w500/miNw8B3vRxtw84zMusdXeqiQlYc.jpg
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,https://image.tmdb.org/t/p/w500/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg
34,Babe (1995),Children|Drama,https://image.tmdb.org/t/p/w500/oqDKJF0U9wsluoLOgnZXkLjsTza.jpg
36,Dead Man Walking (1995),Crime|Drama,https://image.tmdb.org/t/p/w500/pYnZqKwaH9LeSM3HcvSCHya2Re3.jpg
38,It Takes Two (1995),Children|Comedy,https://image.tmdb.org/t/p/w500/nbJiAg1sY4yMWkXYlcxYwN9HVNu.jpg
39,Clueless (1995),Comedy|Romance,https://image.tmdb.org/t/p/w500/8AwVTcgpTnmeOs4TdTWqcFDXEsA.jpg
40,"Cry, the Beloved Country (1995)",Drama,https://image.tmdb.org/t/p/w500/kGPsBswFOCjiGzXq4OZwzEAAODa.jpg
41,Richard III (1995),Drama|War,https://image.tmdb.org/t/p/w500/l1R9O2TBn0qPy1yVJhCXSXnn0Dn.jpg
42,Dead Presidents (1995),Action|Crime|Drama,https://image.tmdb.org/t/p/w500/dh76Lvc411BDvtXy4dgHMEEZBVV.jpg
43,Restoration (1995),Drama,https://image.tmdb.org/t/p/w500/z1YM3WFZnF2NwHT5IRGYUcvZBSl.jpg
44,Mortal Kombat (1995),Action|Adventure|Fantasy,https://image.tmdb.org/t/p/w500/fcK7tzSSXMYiMN8E9KlZJL1BYyp.jpg
45,To Die For (1995),Comedy|Drama|Thriller,https://image.tmdb.org/t/p/w500/aedhsShrlJVhLlwhtlmFJgR4Szs.jpg
46,How to Make an American Quilt (1995),Drama|Romance,https://image.tmdb.org/t/p/w500/f8LhPyEkJcvQE3ynEP7gocwSmgJ.jpg
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,https://image.tmdb.org/t/p/w500/191nKfP0ehp3uIvWqgPbFmI4lv9.jpg
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,https://image.tmdb.org/t/p/w500/r3ZExx4sooyBzXLvjlZ6tJLdfQ1.jpg
49,When Night Is Falling (1995),Drama|Romance,https://image.tmdb.org/t/p/w500/6Ac5GLwJ01uli5mCXqXwquR36Y1.jpg
